AgeRange,Occupation,PercentageAdded,ThousandEmployed,MedianAnnualWage,Percentage
50-59,Corporate managers and directors,10,141,40302,8.992346939
50-59,Other managers and proprietors,11,38,30100,2.423469388
50-59,Professional occupations,25,421,37713,26.8494898
50-59,"Science, research, engineering and technology professionals",26,33,39764,2.104591837
50-59,Health professionals,32,176,35874,11.2244898
50-59,Teaching and educational professionals,36,134,39809,8.545918367
50-59,"Business, media and public service professionals",38,78,36265,4.974489796
50-59,Associate professional and technical occupations,45,212,27909,13.52040816
50-59,"Science, engineering and technology associate professionals",46,28,22191,1.785714286
50-59,Health and social care associate professionals,48,44,24592,2.806122449
50-59,Protective service occupations,48,11,32761,0.7015306122
50-59,Business and public service associate professionals,52,124,30258,7.908163265
50-59,Administrative and secretarial occupations,62,327,21907,20.85459184
50-59,Administrative occupations,70,245,22191,15.625
50-59,Secretarial and related occupations,73,82,20581,5.229591837
50-59,Skilled trades occupations,74,32,18743,2.040816327
50-59,"Textiles, printing and other skilled trades",75,25,18151,1.594387755
50-59,"Caring, leisure and other service occupations",81,188,18224,11.98979592
50-59,Caring personal service occupations,86,170,18121,10.84183673
50-59,"Leisure, travel and related personal service occupations",87,18,19019,1.147959184
50-59,Sales and customer service occupations,90,90,16758,5.739795918
50-59,Sales occupations,91,58,14964,3.698979592
50-59,Customer service occupations,92,32,20616,2.040816327
50-59,"Process, plant and machine operatives",94,40,17666,2.551020408
50-59,"Process, plant and machine operatives",95,32,17291,2.040816327
50-59,Transport and mobile machine drivers and operatives,95,8,22481,0.5102040816
50-59,Elementary occupations,97,79,15270,5.038265306
50-59,Elementary trades and related occupations,98,15,16339,0.9566326531
50-59,Elementary administration and service occupations,100,64,14955,4.081632653
60,"Managers, directors and senior officials",5,36,29907,10.65088757
60,Corporate managers and directors,9,26,32598,7.692307692
60,Other managers and proprietors,11,10,27907,2.958579882
60,Professional occupations,21,63,34868,18.63905325
60,Health professionals,24,24,33180,7.100591716
60,Teaching and educational professionals,28,23,37871,6.804733728
60,"Business, media and public service professionals",30,12,29958,3.550295858
60,Associate professional and technical occupations,35,38,25730,11.24260355
60,Health and social care associate professionals,37,8,27393,2.366863905
60,Business and public service associate professionals,40,24,25771,7.100591716
60,Administrative and secretarial occupations,53,86,21115,25.44378698
60,Administrative occupations,62,59,21054,17.4556213
60,Secretarial and related occupations,67,28,21715,8.284023669
60,Skilled trades occupations,69,12,16351,3.550295858
60,"Textiles, printing and other skilled trades",70,9,16572,2.662721893
60,"Caring, leisure and other service occupations",78,52,18365,15.38461538
60,Caring personal service occupations,85,46,18620,13.60946746
60,"Leisure, travel and related personal service occupations",86,6,16450,1.775147929
60,Sales and customer service occupations,89,21,15682,6.213017751
60,Sales occupations,91,15,14867,4.437869822
60,"Process, plant and machine operatives",93,10,15382,2.958579882
60,"Process, plant and machine operatives",94,8,14976,2.366863905
60,Elementary occupations,97,21,15104,6.213017751
60,Elementary administration and service occupations,100,18,14962,5.325443787
